License Name,Current Parent Nav Menu,,Current URL,Page Title,Category,Notes,Version,Release Date,SPDX Identifier,License steward,Approval date,Link to Board minutes,Canonical URL,Category1,Category2?,Category3?
0-clause BSD License (0BSD),Licenses,,https://opensource.org/licenses/0BSD,,Other/Miscellaneous,,,,,,,,,,,
1-clause BSD License (BSD-1-Clause),Licenses,,https://opensource.org/licenses/BSD-1-Clause,,Other/Miscellaneous,,,,,,,,,,,
2-clause BSD License (BSD-2-Clause),Licenses,,https://opensource.org/licenses/BSD-2-Clause,,Popular / Strong Community,,,,,,,,,,,
3-clause BSD License (BSD-3-Clause),Licenses,,https://opensource.org/licenses/BSD-3-Clause,,Popular / Strong Community,,,,,,,,,,,
"Academic Free License 3,0 (AFL-3.0)",Licenses,,https://opensource.org/licenses/AFL-3.0,,Redundant with more popular,,3.0,,,,,,,,,
Adaptive Public License (APL-1.0),Licenses,,https://opensource.org/licenses/APL-1.0,,Other/Miscellaneous,,1.0,,,,,,,,,
Apache Software License 1.1 (Apache-1.1),Licenses,,https://opensource.org/licenses/Apache-1.1,,Superseded,,1.1,,,Apache Software Foundation,,,,,,
Apache License 2.0 (Apache-2.0),Licenses,,https://opensource.org/licenses/Apache-2.0,,Popular / Strong Community,,2.0,,,Apache Software Foundation,,,,,,
Apple Public Source License (APSL-2.0),Licenses,,https://opensource.org/licenses/APSL-2.0,,Non-reusable,,2.0,,,,,,,,,
Artistic license 1.0 (Artistic-1.0),Licenses,,https://opensource.org/licenses/Artistic-1.0,,Superseded,,1.0,,,,,,,,,
Artistic License 2.0 (Artistic-2.0),Licenses,,https://opensource.org/licenses/Artistic-2.0,,Other/Miscellaneous,,2.0,,,,,,,,,
Attribution Assurance License (AAL),Licenses,,https://opensource.org/licenses/AAL,,Redundant with more popular,,,,,,,,,,,
Boost Software License (BSL-1.0),Licenses,,https://opensource.org/licenses/BSL-1.0,,Uncategorized,,1.0,,,,,,,,,
3-clause BSD License,Licenses,,https://opensource.org/licenses/BSD-3-Clause,,Popular / Strong Community,,,,,,,,,,,
2-clause BSD License,Licenses,,https://opensource.org/licenses/BSD-2-Clause,,Popular / Strong Community,,,,,,,,,,,
1-clause BSD License,Licenses,,https://opensource.org/licenses/BSD-1-Clause,,Other/Miscellaneous,,,,,,,,,,,
0-clause BSD license,Licenses,,https://opensource.org/licenses/0BSD,,Other/Miscellaneous,,,,,,,,,,,
BSD-3-Clause-LBNL,Licenses,,???,,Special purpose,,,,,,,,,,,
BSD+Patent (BSD-2-Clause-Patent),Licenses,,https://opensource.org/licenses/BSDplusPatent,,Special purpose,,,,,,,,,,,
CERN Open Hardware Licence Version 2 - Permissive,Licenses,,https://opensource.org/CERN-OHL-P,,Special purpose,,2,,,CERN,,,,,,
CERN Open Hardware Licence Version 2 - Weakly Reciprocal,Licenses,,https://opensource.org/CERN-OHL-W,,Special purpose,,2,CERN,,,,,,,,
CERN Open Hardware Licence Version 2 - Strongly Reciprocal,Licenses,,https://opensource.org/CERN-OHL-S,,Special purpose,,2,CERN,,,,,,,,
CeCILL License 2.1 (CECILL-2.1),Licenses,,https://opensource.org/licenses/CECILL-2.1,,International,,2.1,CERN,,,,,,,,
Common Development and Distribution License 1.0 (CDDL-1.0),Licenses,,https://opensource.org/licenses/CDDL-1.0,,Popular / Strong Community,,1.0,,,,,,,,,
Common Public Attribution License 1.0 (CPAL-1.0),Licenses,,https://opensource.org/licenses/CPAL-1.0,,Uncategorized,,1.0,,,,,,,,,
Common Public License 1.0 (CPL-1.0),Licenses,,https://opensource.org/licenses/CPL-1.0,,Superseded,,1.0,,,,,,,,,
Computer Associates Trusted Open Source License 1.1 (CATOSL-1.1),Licenses,,https://opensource.org/licenses/CATOSL-1.1,,Non-reusable,,1.1,,,,,,,,,
Cryptographic Autonomy License v.1.0 (CAL-1.0),Licenses,,https://opensource.org/licenses/CAL-1.0,,Uncategorized,,1.0,,,,,,,,,
CUA Office Public License Version 1.0 (CUA-OPL-1.0),Licenses,,https://opensource.org/licenses/CUA-OPL-1.0,,Voluntarily retired,,1.0,,,,,,,,,
Eclipse Public License 1.0 (EPL-1.0),Licenses,,https://opensource.org/licenses/EPL-1.0,,Superseded,,1.0,Eclipse Foundation,,,,,,,,
Eclipse Public License 2.0 (EPL-2.0),Licenses,,https://opensource.org/licenses/EPL-2.0,,Popular / Strong Community,,2.0,Eclipse Foundation,,,,,,,,
eCos License version 2.0 (eCos-2.0),Licenses,,https://opensource.org/licenses/eCos-2.0,,Non-reusable,,2.0,,,,,,,,,
"Educational Community License, Version 1.0 (ECL-1.0)",Licenses,,https://opensource.org/licenses/ECL-1.0,,Superseded,,1.0,,,,,,,,,
"Educational Community License, Version 2.0 (ECL-2.0)",Licenses,,https://opensource.org/licenses/ECL-2.0,,Special purpose,,2.0,,,,,,,,,
Eiffel Forum License V1.0 (EFL-1.0),Licenses,,https://opensource.org/licenses/EFL-1.0,,Superseded,,1.0,,,,,,,,,
Eiffel Forum License V2.0 (EFL-2.0),Licenses,,https://opensource.org/licenses/EFL-2.0,,Redundant with more popular,,2.0,,,,,,,,,
Entessa Public License (Entessa),Licenses,,https://opensource.org/licenses/Entessa,,Non-reusable,,,,,,,,,,,
EU DataGrid Software License (EUDatagrid),Licenses,,https://opensource.org/licenses/EUDatagrid,,Non-reusable,,,,,,,,,,,
European Union Public License 1.2 (EUPL-1.2),Licenses,,https://opensource.org/licenses/EUPL-1.1,,International,links to every language's version on their site,1.2,European Commission,,,,,,,,
Fair License (Fair),Licenses,,https://opensource.org/licenses/Fair,,Redundant with more popular,,,,,,,,,,,
Frameworx License (Frameworx-1.0),Licenses,,https://opensource.org/licenses/Frameworx-1.0,,Non-reusable,,1.0,,,,,,,,,
Free Public License 1.0.0 (0BSD),Licenses,,https://opensource.org/licenses/0BSD,,Other/Miscellaneous,,1.0.0,,,,,,,,,
GNU Affero General Public License version 3 (AGPL-3.0),Licenses,,https://opensource.org/licenses/AGPL-3.0,,Uncategorized,,3.0,Free Software Foundation,,,,,,,,
GNU General Public License version 2 (GPL-2.0),Licenses,,https://opensource.org/licenses/GPL-2.0,,Popular / Strong Community,,2.0,Free Software Foundation,,,,,,,,
GNU General Public License version 3 (GPL-3.0),Licenses,,https://opensource.org/licenses/GPL-3.0,,Popular / Strong Community,,3.0,Free Software Foundation,,,,,,,,
GNU Lesser General Public License version 2.1 (LGPL-2.1),Licenses,,https://opensource.org/licenses/LGPL-2.1,,Popular / Strong Community,,2.1,Free Software Foundation,,,,,,,,
GNU Lesser General Public License version 3 (LGPL-3.0),Licenses,,https://opensource.org/licenses/LGPL-3.0,,Popular / Strong Community,,3.0,Free Software Foundation,,,,,,,,
Historical Permission Notice and Disclaimer (HPND),Licenses,,https://opensource.org/licenses/HPND,,Redundant with more popular,,,,,,,,,,,
IBM Public License 1.0 (IPL-1.0),Licenses,,https://opensource.org/licenses/IPL-1.0,,Non-reusable,,1.0,,,,,,,,,
Intel Open Source License (Intel),Licenses,,https://opensource.org/licenses/Intel,,Voluntarily retired,,,,,,,,,,,
IPA Font License (IPA),Licenses,,https://opensource.org/licenses/IPA,,Special purpose,,,,,,,,,,,
ISC License (ISC),Licenses,,https://opensource.org/licenses/ISC,,Uncategorized,,,,,,,,,,,
Jabber Open Source License,Licenses,,https://opensource.org/licenses/jabberpl,,Voluntarily retired,,,,,,,,,,,
JAM License (Jam),Licenses,,https://opensource.org/licenses/jam,,Other/Miscellaneous,,,,,,,,,,,
LaTeX Project Public License 1.3c (LPPL-1.3c),Licenses,,https://opensource.org/licenses/LPPL-1.3c,,Non-reusable,,1.3,,,,,,,,,
Lawrence Berkeley National Labs BSD Variant License (BSD-3-Clause-LBNL),Licenses,,https://opensource.org/BSD-3-Clause-LBNL,,Special purpose,,,,,,,,,,,
Licence Libre du Québec – Permissive (LiLiQ-P) version 1.1 (LiliQ-P),Licenses,,https://opensource.org/licenses/LiLiQ-P-1.1,,International,,1.1,,,,,,,,,
Licence Libre du Québec – Réciprocité (LiLiQ-R) version 1.1 (LiliQ-R),Licenses,,https://opensource.org/licenses/LiLiQ-R-1.1,,International,,1.1,,,,,,,,,
Licence Libre du Québec – Réciprocité forte (LiLiQ-R+) version 1.1 (LiliQ-R+),Licenses,,https://opensource.org/licenses/LiLiQ-Rplus-1.1,,International,,1.1,,,,,,,,,
"Lucent Public License (Plan9), version 1.0 (LPL-1.0)",Licenses,,https://opensource.org/licenses/LPL-1.0,,Superseded,,1.0,,,,,,,,,
Lucent Public License Version 1.02 (LPL-1.02),Licenses,,https://opensource.org/licenses/LPL-1.02,,Redundant with more popular,,1.02,,,,,,,,,
Microsoft Public License (MS-PL),Licenses,,https://opensource.org/licenses/MS-PL,,Uncategorized,,,Microsoft,,,,,,,,
Microsoft Reciprocal License (MS-RL),Licenses,,https://opensource.org/licenses/MS-RL,,Uncategorized,,,,,,,,,,,
MirOS Licence (MirOS),Licenses,,https://opensource.org/licenses/MirOS,,Uncategorized,,,,,,,,,,,
MIT License (MIT),Licenses,,https://opensource.org/licenses/MIT,,Popular / Strong Community,,,,,,,,,,,
MIT No Attribution License (MIT-0),Licenses,,https://opensource.org/licenses/MIT-0,,Other/Miscellaneous,,,,,,,,,,,
MITRE Collaborative Virtual Workspace License (CVW),Licenses,,https://opensource.org/licenses/CVW,,Voluntarily retired,,,,,,,,,,,
Motosoto License (Motosoto),Licenses,,https://opensource.org/licenses/Motosoto,,Non-reusable,,,,,,,,,,,
Mozilla Public License 1.0 (MPL-1.0),Licenses,,https://opensource.org/licenses/MPL-1.0,,Superseded,,1.0,Mozilla Foundation,,,,,,,,
Mozilla Public License 1.1 (MPL-1.1),Licenses,,https://opensource.org/licenses/MPL-1.1,,Superseded,,1.1,Mozilla Foundation,,,,,,,,
Mozilla Public License 2.0 (MPL-2.0),Licenses,,https://opensource.org/licenses/MPL-2.0,,Popular / Strong Community,,2.0,Mozilla Foundation,,,,,,,,
Mulan Permissive Software License v2 (MulanPSL - 2.0),Licenses,,https://opensource.org/licenses/MulanPSL-2.0,,International,,2.0,,,,,,,,,
Multics License (Multics),Licenses,,https://opensource.org/licenses/Multics,,Non-reusable,,,,,,,,,,,
NASA Open Source Agreement 1.3 (NASA-1.3),Licenses,,https://opensource.org/licenses/NASA-1.3,,Special purpose,,1.3,NASA,,,,,,,,
Naumen Public License (Naumen),Licenses,,https://opensource.org/licenses/Naumen,,Non-reusable,,,,,,,,,,,
Nethack General Public License (NGPL),Licenses,,https://opensource.org/licenses/NGPL,,Non-reusable,,,,,,,,,,,
Nokia Open Source License (Nokia),Licenses,,https://opensource.org/licenses/Nokia,,Non-reusable,,,,,,,,,,,
Non-Profit Open Software License 3.0 (NPOSL-3.0),Licenses,,https://opensource.org/licenses/NPOSL-3.0,,Uncategorized,,3.0,,,,,,,,,
NTP License (NTP),Licenses,,https://opensource.org/licenses/NTP,,Uncategorized,,,,,,,,,,,
OCLC Research Public License 2.0 (OCLC-2.0),Licenses,,https://opensource.org/licenses/OCLC-2.0,,Non-reusable,,2.0,,,,,,,,,
Open Group Test Suite License (OGTSL),Licenses,,https://opensource.org/licenses/OGTSL,,Uncategorized,,,,,,,,,,,
Open Software License 1.0 (OSL-1.0),Licenses,,https://opensource.org/licenses/OSL-1.0,,Superseded,,1.0,,,,,,,,,
Open Software License 2.1 (OSL-2.1),Licenses,,https://opensource.org/licenses/OSL-2.1,,Superseded,,2.1,,,,,,,,,
Open Software License 3.0 (OSL-3.0),Licenses,,https://opensource.org/licenses/OSL-3.0,,Other/Miscellaneous,,3.0,,,,,,,,,
OpenLDAP Public License Version 2.8 (OLDAP-2.8),Licenses,,https://opensource.org/licenses/OLDAP-2.8,,Redundant with more popular,,2.8,,,,,,,,,
OSET Public License version 2.1,Licenses,,https://opensource.org/licenses/OPL-2.1,,Special purpose,,2.1,,,,,,,,,
PHP License 3.0 (PHP-3.0),Licenses,,https://opensource.org/licenses/PHP-3.0,,Superseded,,3.0,,,,,,,,,
PHP License 3.01 (PHP-3.01),Licenses,,https://opensource.org/licenses/PHP-3.01,,Superseded,,3.01,,,,,,,,,
The PostgreSQL License (PostgreSQL),Licenses,,https://opensource.org/licenses/PostgreSQL,,Redundant with more popular,,,,,,,,,,,
Python License (Python-2.0)(overall Python license),Licenses,,https://opensource.org/licenses/Python-2.0,,Non-reusable,,2.0,,,,,,,,,
CNRI Python license (CNRI-Python)(CNRI portion of Python License),Licenses,,https://opensource.org/licenses/CNRI-Python,,Non-reusable,,,,,,,,,,,
Q Public License (QPL-1.0),Licenses,,https://opensource.org/licenses/QPL-1.0,,Other/Miscellaneous,,1.0,,,,,,,,,
RealNetworks Public Source License V1.0 (RPSL-1.0),Licenses,,https://opensource.org/licenses/RPSL-1.0,,Non-reusable,,1.0,,,,,,,,,
"Reciprocal Public License, version 1.1 (RPL-1.1)",Licenses,,https://opensource.org/licenses/RPL-1.1,,Superseded,,1.1,,,,,,,,,
Reciprocal Public License 1.5 (RPL-1.5),Licenses,,https://opensource.org/licenses/RPL-1.5,,Uncategorized,,1.5,,,,,,,,,
Ricoh Source Code Public License (RSCPL),Licenses,,https://opensource.org/licenses/RSCPL,,Non-reusable,,,,,,,,,,,
SIL Open Font License 1.1 (OFL-1.1),Licenses,,https://opensource.org/licenses/OFL-1.1,,Special purpose,,1.1,,,,,,,,,
Simple Public License 2.0 (SimPL-2.0),Licenses,,https://opensource.org/licenses/SimPL-2.0,,Uncategorized,,2.0,,,,,,,,,
Sleepycat License (Sleepycat),Licenses,,https://opensource.org/licenses/Sleepycat,,Non-reusable,,,,,,,,,,,
Sun Industry Standards Source License (SISSL),Licenses,,https://opensource.org/licenses/SISSL,,Voluntarily retired,,,,,,,,,,,
Sun Public License 1.0 (SPL-1.0),Licenses,,https://opensource.org/licenses/SPL-1.0,,Non-reusable,,1.0,,,,,,,,,
Sybase Open Watcom Public License 1.0 (Watcom-1.0),Licenses,,https://opensource.org/licenses/Watcom-1.0,,Non-reusable,,1.0,,,,,,,,,
Universal Permissive License (UPL),Licenses,,https://opensource.org/licenses/UPL,,Other/Miscellaneous,,,,,,,,,,,
University of Illinois/NCSA Open Source License (NCSA),Licenses,,https://opensource.org/licenses/NCSA,,Redundant with more popular,,,,,,,,,,,
Upstream Compatibility License v1.0,Licenses,,https://opensource.org/licenses/UCL-1.0,,Special purpose,,1.0,,,,,,,,,
Unicode Data Files and Software License,Licenses,,https://opensource.org/node/1077,,Special purpose,,,,,,,,,,,
The Unlicense,Licenses,,https://opensource.org/licenses/unlicense,,Special purpose,,,,,,,,,,,
Vovida Software License v. 1.0 (VSL-1.0),Licenses,,https://opensource.org/licenses/VSL-1.0,,Non-reusable,,1.0,,,,,,,,,
W3C License (W3C),Licenses,,https://opensource.org/licenses/W3C,,Non-reusable,,,,,,,,,,,
wxWindows Library License (WXwindows),Licenses,,https://opensource.org/licenses/WXwindows,,Non-reusable,,,,,,,,,,,
X.Net License (Xnet),Licenses,,https://opensource.org/licenses/Xnet,,Redundant with more popular,,,,,,,,,,,
Zero-Clause BSD (0BSD),Licenses,,https://opensource.org/licenses/0BSD,,Other/Miscellaneous,,,,,,,,,,,
Zope Public License 2.0 (ZPL-2.0),Licenses,,https://opensource.org/licenses/ZPL-2.0,,Superseded,,2.0,,,,,,,,,
Zope Public License 2.1 (ZPL-2.1),Licenses,,https://opensource.org/licenses/ZPL-2.1,,Redundant with more popular,,2.1,,,,,,,,,
zlib/libpng license (Zlib),Licenses,,https://opensource.org/licenses/Zlib,,Other/Miscellaneous,,,,,,,,,,,
